"PS code, 2020",California Census tracts ,"Number of people in state prison from each Census tract, 2020","Census population, 2020","Total population, 2020","Imprisonment rate per 100,000"
6037101110,"Los Angeles County, Census Tract 1011.1",19,"4,926","4,945",384
6037101122,"Los Angeles County, Census Tract 1011.22",12,"3,728","3,740",321
6037101220,"Los Angeles County, Census Tract 1012.2",7,"3,344","3,351",209
6037101221,"Los Angeles County, Census Tract 1012.21",6,"3,444","3,450",174
6037101222,"Los Angeles County, Census Tract 1012.22",8,"2,808","2,816",284
6037101300,"Los Angeles County, Census Tract 1013",6,"4,269","4,275",140
6037101400,"Los Angeles County, Census Tract 1014",16,"3,898","3,914",409
6037102103,"Los Angeles County, Census Tract 1021.03",10,"2,107","2,117",472
6037102104,"Los Angeles County, Census Tract 1021.04",10,"3,906","3,916",255
6037102105,"Los Angeles County, Census Tract 1021.05",10,"1,855","1,865",536
6037102107,"Los Angeles County, Census Tract 1021.07",7,"3,984","3,991",175
6037103101,"Los Angeles County, Census Tract 1031.01",10,"2,712","2,722",367
6037103102,"Los Angeles County, Census Tract 1031.02",13,"4,752","4,765",273
6037103201,"Los Angeles County, Census Tract 1032.01",16,"4,676","4,692",341
6037103202,"Los Angeles County, Census Tract 1032.02",7,"2,026","2,033",344
6037103300,"Los Angeles County, Census Tract 1033",13,"3,953","3,966",328
6037103401,"Los Angeles County, Census Tract 1034.01",6,"2,516","2,522",238
6037103402,"Los Angeles County, Census Tract 1034.02",6,"4,075","4,081",147
6037104103,"Los Angeles County, Census Tract 1041.03",17,"3,811","3,828",444
6037104105,"Los Angeles County, Census Tract 1041.05",34,"5,999","6,033",564
6037104108,"Los Angeles County, Census Tract 1041.08",31,"5,829","5,860",529
6037104124,"Los Angeles County, Census Tract 1041.24",14,"4,333","4,347",322
6037104201,"Los Angeles County, Census Tract 1042.01",34,"4,377","4,411",771
6037104203,"Los Angeles County, Census Tract 1042.03",21,"4,874","4,895",429
6037104204,"Los Angeles County, Census Tract 1042.04",14,"3,304","3,318",422
6037104310,"Los Angeles County, Census Tract 1043.1",26,"4,396","4,422",588
6037104321,"Los Angeles County, Census Tract 1043.21",15,"3,009","3,024",496
6037104322,"Los Angeles County, Census Tract 1043.22",16,"2,233","2,249",711
6037104401,"Los Angeles County, Census Tract 1044.01",16,"3,022","3,038",527
6037104403,"Los Angeles County, Census Tract 1044.03",13,"2,947","2,960",439
6037104404,"Los Angeles County, Census Tract 1044.04",24,"3,082","3,106",773
6037104500,"Los Angeles County, Census Tract 1045",10,"3,151","3,161",316
6037104610,"Los Angeles County, Census Tract 1046.1",15,"3,645","3,660",410
6037104620,"Los Angeles County, Census Tract 1046.2",11,"3,200","3,211",343
6037104701,"Los Angeles County, Census Tract 1047.01",27,"4,601","4,628",583
6037104703,"Los Angeles County, Census Tract 1047.03",20,"2,572","2,592",772
6037104704,"Los Angeles County, Census Tract 1047.04",17,"4,760","4,777",356
6037104821,"Los Angeles County, Census Tract 1048.21",11,"3,498","3,509",313
6037104822,"Los Angeles County, Census Tract 1048.22",6,"2,345","2,351",255
6037104823,"Los Angeles County, Census Tract 1048.23",11,"3,024","3,035",362
6037104824,"Los Angeles County, Census Tract 1048.24",15,"2,207","2,222",675
6037106010,"Los Angeles County, Census Tract 1060.1",8,"3,390","3,398",235
6037106020,"Los Angeles County, Census Tract 1060.2",15,"5,557","5,572",269
6037106111,"Los Angeles County, Census Tract 1061.11",7,"4,331","4,338",161
6037106112,"Los Angeles County, Census Tract 1061.12",16,"6,201","6,217",257
6037106113,"Los Angeles County, Census Tract 1061.13",17,"3,939","3,956",430
6037106114,"Los Angeles County, Census Tract 1061.14",27,"6,643","6,670",405
6037106403,"Los Angeles County, Census Tract 1064.03",12,"3,704","3,716",323
6037106405,"Los Angeles County, Census Tract 1064.05",18,"3,968","3,986",452
6037106406,"Los Angeles County, Census Tract 1064.06",17,"6,173","6,190",275
6037106407,"Los Angeles County, Census Tract 1064.07",4,"2,909","2,807",143
6037106408,"Los Angeles County, Census Tract 1064.08",10,"3,440","3,450",290
6037106510,"Los Angeles County, Census Tract 1065.1",20,"5,791","5,811",344
6037106520,"Los Angeles County, Census Tract 1065.2",25,"5,670","5,695",439
