Census Tract,PM2.5 Score,PM2.5 Weight,Pollution Burden Score,PB Weight,Education Score,Edu Weight,Poverty Score,Pov Weight,Unemployment Score,Unemp Weight,Housing Burden Score,HB Weight,Ling Iso Score,LI Weight,Incarceration Score,Incar Weight,Avg. Energy Burden (% income),Energy Burden Score,EB Weight,Cumulative Weighted Score (Ignore NaNs)
6037101110,5.755965406,5,4.27,5,5.580558056,8,5.771966737,16.5,6.998,16.5,9.388694347,16.5,6.686,8,5.67239636,8,3,2.857142857,16.5,6.064022274
6037101122,5.517349172,,3.76,,2.642264226,,1.734295161,,4.986,,3.744872436,,2.726,,4.418604651,,2,1.428571429,,3.209283908
6037101210,5.789309159,,4.24,,5.792579258,,8.636409177,,4.699,,9.263631816,,8.751,,N/A,,2,1.428571429,,0
6037101220,5.715327707,,4.61,,6.465646565,,7.27983168,,8.675,,9.524762381,,9.058,,1.941354904,,3,2.857142857,,6.589028094
6037101221,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,1.243680485,,,N/A,,0
6037101222,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,3.640040445,,,N/A,,0
6037101300,5.453787642,,5.45,,4.266426643,,2.692115019,,3.502,,5.683841921,,6.33,,0.6268958544,,2,1.428571429,,3.638632363
6037101400,5.572574763,,5.69,,3.813381338,,4.86424206,,5.836,,5.309654827,,6.998,,6.19817998,,2,1.428571429,,4.801240916
6037102103,5.747629468,,6.28,,2.222222222,,0.9478008216,,7.897,,5.460730365,,5.052,,7.057633974,,2,1.428571429,,4.344056901
6037102104,5.999791602,,7.7,,4.266426643,,5.112714157,,8.583,,6.150075038,,7.226,,2.98281092,,2,1.428571429,,5.353278088
6037102105,6.236323851,,8.59,,6.520652065,,7.029355776,,5.502,,9.914957479,,N/A,,7.724974722,,3,2.857142857,,0
6037102107,5.568406794,,6.78,,4.307430743,,5.031559964,,5.619,,7.339669835,,0.849,,1.274014156,,2,1.428571429,,4.335958134
6037103101,5.700739815,,4.51,,5.147514751,,3.480613165,,3.358,,7.155577789,,5.822,,5.358948433,,2,1.428571429,,4.361569839
6037103102,5.692403876,,4.51,,6.301630163,,4.044684901,,5.126,,3.421710855,,9.016,,3.417593529,,2,1.428571429,,4.322397675
6037103200,5.631968323,,6.09,,4.97749775,,4.766055505,,3.921,,5.35967984,,4.6,,N/A,,3,2.857142857,,0
6037103201,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,4.823053589,,,N/A,,0
6037103202,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,4.88372093,,,N/A,,0
6037103300,5.582994686,,5.4,,1.03110311,,0.9107303877,,3.227,,2.968484242,,0.281,,4.550050556,,2,1.428571429,,2.426361727
6037103400,5.578826717,,5.32,,4.751475148,,3.193066827,,4.309,,5.683841921,,2.804,,N/A,,2,1.428571429,,0
6037103401,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,2.628918099,,,N/A,,0
6037103402,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.7381193124,,,N/A,,0
6037104103,5.703865791,,6.26,,7.545754575,,4.835186855,,0.02,,7.215607804,,N/A,,6.693629929,,3,2.857142857,,0
6037104105,5.563196832,,5.53,,8.726872687,,7.327923054,,6.563,,7.685842921,,7.69,,7.967644085,,2,1.428571429,,6.301301855
6037104108,5.636136293,,6.24,,8.940894089,,8.46808937,,6.748,,5.970985493,,6.745,,7.654196158,,3,2.857142857,,6.428309958
6037104124,5.373554236,,5.29,,6.203620362,,4.023644925,,4.435,,3.317658829,,8.311,,4.438827098,,3,2.857142857,,4.4639722
6037104201,5.59862457,,7.15,,9.217921792,,8.38493137,,4.699,,9.630815408,,6.922,,9.120323559,,4,4.285714286,,7.113326932
6037104203,5.602792539,,6.03,,9.336933693,,8.038272718,,4.578,,8.824412206,,8.929,,6.49140546,,3,2.857142857,,6.571368343
6037104204,5.398562051,,6.6,,8.929892989,,8.025247971,,6.24,,8.415207604,,7.276,,6.380182002,,3,2.857142857,,6.620517843
6037104310,5.649682192,,8.25,,9.395939594,,7.062418595,,3.771,,8.787393697,,8.264,,8.149646107,,4,4.285714286,,6.704327851
6037104320,5.602792539,,7.76,,9.441944194,,5.73690011,,0.321,,8.697348674,,9.034,,N/A,,3,2.857142857,,0
6037104321,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,7.28008089,,,N/A,,0
6037104322,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,8.88776542,,,N/A,,0
